"";"Camargo - - Vivienda libre hasta 5 años de antigüedad - Precio del metro cuadrado";"Camargo - - Vivienda libre hasta 5 años de antigüedad - Tasaciones";"Camargo - - Vivienda libre con más de 5 años de antigüedad - Precio del metro cuadrado";"Camargo - - Vivienda libre con más de 5 años de antigüedad - Tasaciones";"Camargo - Total - Precio del metro cuadrado";"Camargo - Total - Tasaciones";"Castro-Urdiales - - Vivienda libre hasta 5 años de antigüedad - Precio del metro cuadrado";"Castro-Urdiales - - Vivienda libre hasta 5 años de antigüedad - Tasaciones";"Castro-Urdiales - - Vivienda libre con más de 5 años de antigüedad - Precio del metro cuadrado";"Castro-Urdiales - - Vivienda libre con más de 5 años de antigüedad - Tasaciones";"Castro-Urdiales - Total - Precio del metro cuadrado";"Castro-Urdiales - Total - Tasaciones";"Santander - - Vivienda libre hasta 5 años de antigüedad - Precio del metro cuadrado";"Santander - - Vivienda libre hasta 5 años de antigüedad - Tasaciones";"Santander - - Vivienda libre con más de 5 años de antigüedad - Precio del metro cuadrado";"Santander - - Vivienda libre con más de 5 años de antigüedad - Tasaciones";"Santander - Total - Precio del metro cuadrado";"Santander - Total - Tasaciones";"Torrelavega - - Vivienda libre hasta 5 años de antigüedad - Precio del metro cuadrado";"Torrelavega - - Vivienda libre hasta 5 años de antigüedad - Tasaciones";"Torrelavega - - Vivienda libre con más de 5 años de antigüedad - Precio del metro cuadrado";"Torrelavega - - Vivienda libre con más de 5 años de antigüedad - Tasaciones";"Torrelavega - Total - Precio del metro cuadrado";"Torrelavega - Total - Tasaciones"
"2005";"";"";"";"";"";"235";"";"";"";"";"";"768";"";"";"";"";"";"3101";"";"";"";"";"";"815"
"2005 - 1";"";"";"";"";"1643.80";"66";"";"";"";"";"2270.00";"192";"";"";"";"";"1981.60";"696";"";"";"";"";"1430.20";"182"
"2005 - 2";"";"";"";"";"1770.40";"79";"";"";"";"";"2322.90";"269";"";"";"";"";"2093.60";"773";"";"";"";"";"1506.20";"244"
"2005 - 3";"";"";"";"";"1647.60";"48";"";"";"";"";"2321.30";"156";"";"";"";"";"2010.00";"821";"";"";"";"";"1572.20";"228"
"2005 - 4";"";"";"";"";"1711.00";"42";"";"";"";"";"2290.20";"151";"";"";"";"";"2229.40";"811";"";"";"";"";"1538.60";"161"
"2006";"";"";"";"";"";"147";"";"";"";"";"";"968";"";"";"";"";"";"2819";"";"";"";"";"";"989"
"2006 - 1";"";"";"";"";"1820.80";"46";"";"";"";"";"2533.70";"241";"";"";"";"";"2344.60";"833";"";"";"";"";"1664.00";"228"
"2006 - 2";"";"";"";"";"1836.80";"48";"";"";"";"";"2465.30";"206";"";"";"";"";"2342.70";"800";"";"";"";"";"1980.50";"348"
"2006 - 3";"";"";"";"";"1650.50";"36";"";"";"";"";"2329.50";"306";"";"";"";"";"2484.50";"587";"";"";"";"";"1696.30";"211"
"2006 - 4";"";"";"";"";"";"17";"";"";"";"";"2395.50";"215";"";"";"";"";"2428.90";"599";"";"";"";"";"1683.90";"202"
"2007";"";"";"";"";"";"170";"";"";"";"";"";"642";"";"";"";"";"";"2166";"";"";"";"";"";"617"
