Title,Price,Location
"Penthouse in calle de Zurbano, Almagro, Madrid","3,500,000€",6 bed.
"Flat in calle de Lagasca, Recoletos, Madrid","3,630,000€",3 bed.
"Flat in calle de Hermosilla, Goya, Madrid","1,420,000€",2 bed.
"Flat in calle de la Virgen de los Peligros, Sol, Madrid","2,200,000€",3 bed.
"Flat in calle Gran Vía, Sol, Madrid","6,000,000€",6 bed.
"Flat in calle Duque de Tamames, San Juan Bautista, Madrid","1,450,000€",5 bed.
"Semi-detached house in ronda de Sobradiel, Conde Orgaz-Piovera, Madrid","2,190,000€",7 bed.
"Detached house in El Plantío, Madrid","4,100,000€",6 bed.
"Semi-detached house in Canillas, Madrid","1,795,000€",5 bed.
"Detached house in Conde Orgaz-Piovera, Madrid","5,450,000€",7 bed.
"Flat in calle de Alcalá, Goya, Madrid","1,660,000€",3 bed.
"Terraced house in calle de Tobago, Salvador, Madrid","1,095,000€",5 bed.
"Flat in calle del Poeta Joan Maragall, Cuatro Caminos, Madrid","1,599,000€",3 bed.
"Flat in Palacio, Madrid","1,495,000€",3 bed.
"Flat in avenida Provisional Ahijones Berrocales, 62, Los Berrocales, Madrid","381,000€",3 bed.
"Flat in avenida Provisional Ahijones Berrocales, 62, Los Berrocales, Madrid","354,300€",2 bed.
"Flat in avenida Provisional Ahijones Berrocales, 62, Los Berrocales, Madrid","320,200€",2 bed.
"Flat in calle Joaquín Lorenzo, Nn, Peñagrande, Madrid","652,000€",3 bed.
"Flat in calle Joaquín Lorenzo, Nn, Peñagrande, Madrid","942,000€",4 bed.
"Flat in calle Joaquín Lorenzo, Nn, Peñagrande, Madrid","850,000€",4 bed.
"Flat in calle de Alcalá, Recoletos, Madrid","3,895,000€",4 bed.
"Penthouse in calle de Juan de Urbieta, 49, Niño Jesús, Madrid","900,000€",1 bed.
"Flat in calle del Cardenal Cisneros, Trafalgar, Madrid","473,000€",3 bed.
"Detached house in Conde Orgaz-Piovera, Madrid","1,850,000€",7 bed.
"Flat in calle Riaza, 2 a, Aravaca, Madrid","998,800€",5 bed.
"Flat in calle de Alcalá, 233, Guindalera, Madrid","1,149,000€",3 bed.
"Flat in calle de Hermosilla, 55, Recoletos, Madrid","4,000,000€",4 bed.
"Flat in calle de Goya, 25, Recoletos, Madrid","5,313,920€",4 bed.
"Flat in calle Fernando Católico, Madrid, 88, Gaztambide, Madrid","1,100,000€",9 bed.
"Penthouse in calle de Roberto Domingo, 1, Guindalera, Madrid","1,650,000€",3 bed.
